System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s10ky0.28_4_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.35794 -> 0.32233, length: 1, cache size: 24
before garbage_collect. num_nodes: 101, log10(remaining): 1
after garbage_collect. num_nodes: 101, log10(remaining): 1
min(objective): 0.32233 -> 0.31453, length: 2, cache size: 102
min(objective): 0.31453 -> 0.29943, length: 2, cache size: 103
min(objective): 0.29943 -> 0.28873, length: 2, cache size: 108
min(objective): 0.28873 -> 0.28863, length: 2, cache size: 111
before garbage_collect. num_nodes: 189, log10(remaining): 1
after garbage_collect. num_nodes: 189, log10(remaining): 1
min(objective): 0.28863 -> 0.28542, length: 4, cache size: 5261
min(objective): 0.28542 -> 0.28332, length: 4, cache size: 5280
before garbage_collect. num_nodes: 5317, log10(remaining): 1
after garbage_collect. num_nodes: 5317, log10(remaining): 1
min(objective): 0.28332 -> 0.28292, length: 4, cache size: 7404
min(objective): 0.28292 -> 0.28212, length: 4, cache size: 7423
before garbage_collect. num_nodes: 7460, log10(remaining): 1
after garbage_collect. num_nodes: 7460, log10(remaining): 1
iter: 10000, tree: 295290, queue: 285835, pmap: 288488, log10(remaining): 1, time elapsed: 1.422810
min(objective): 0.28212 -> 0.27482, length: 3, cache size: 309804
before garbage_collect. num_nodes: 309837, log10(remaining): 1
after garbage_collect. num_nodes: 309837, log10(remaining): 1
min(objective): 0.27482 -> 0.27402, length: 3, cache size: 335696
before garbage_collect. num_nodes: 335722, log10(remaining): 1
after garbage_collect. num_nodes: 335722, log10(remaining): 1
min(objective): 0.27402 -> 0.27342, length: 3, cache size: 347000
before garbage_collect. num_nodes: 347025, log10(remaining): 1
after garbage_collect. num_nodes: 347025, log10(remaining): 1
iter: 20000, tree: 469390, queue: 450447, pmap: 454612, log10(remaining): 1, time elapsed: 2.686603
iter: 30000, tree: 597721, queue: 569346, pmap: 575127, log10(remaining): 1, time elapsed: 3.715849
iter: 40000, tree: 701112, queue: 663507, pmap: 669468, log10(remaining): 1, time elapsed: 4.730720
iter: 50000, tree: 786276, queue: 739362, pmap: 745554, log10(remaining): 1, time elapsed: 5.685106
iter: 60000, tree: 855537, queue: 799206, pmap: 806785, log10(remaining): 1, time elapsed: 6.611065
iter: 70000, tree: 917253, queue: 851904, pmap: 857356, log10(remaining): 1, time elapsed: 7.536377
iter: 80000, tree: 974188, queue: 900004, pmap: 904251, log10(remaining): 1, time elapsed: 8.560423
iter: 90000, tree: 1028416, queue: 945134, pmap: 949888, log10(remaining): 1, time elapsed: 9.422033
iter: 100000, tree: 1075871, queue: 983968, pmap: 987563, log10(remaining): 1, time elapsed: 10.273164
iter: 110000, tree: 1118944, queue: 1018738, pmap: 1021769, log10(remaining): 1, time elapsed: 11.120183
iter: 120000, tree: 1157364, queue: 1048546, pmap: 1052365, log10(remaining): 1, time elapsed: 11.958886
