System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s50ky0.22_1_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.34791 -> 0.32031, length: 1, cache size: 29
min(objective): 0.32031 -> 0.31615, length: 1, cache size: 31
min(objective): 0.31615 -> 0.31615, length: 1, cache size: 98
before garbage_collect. num_nodes: 131, log10(remaining): 1
after garbage_collect. num_nodes: 131, log10(remaining): 1
min(objective): 0.31615 -> 0.31375, length: 2, cache size: 132
min(objective): 0.31375 -> 0.30093, length: 2, cache size: 133
min(objective): 0.30093 -> 0.29391, length: 2, cache size: 141
before garbage_collect. num_nodes: 244, log10(remaining): 1
after garbage_collect. num_nodes: 244, log10(remaining): 1
min(objective): 0.29391 -> 0.28809, length: 2, cache size: 480
before garbage_collect. num_nodes: 581, log10(remaining): 1
after garbage_collect. num_nodes: 581, log10(remaining): 1
min(objective): 0.28809 -> 0.28473, length: 2, cache size: 9030
min(objective): 0.28473 -> 0.28185, length: 2, cache size: 9032
min(objective): 0.28185 -> 0.27853, length: 2, cache size: 9033
before garbage_collect. num_nodes: 9126, log10(remaining): 1
after garbage_collect. num_nodes: 9126, log10(remaining): 1
iter: 10000, tree: 632116, queue: 623696, pmap: 615973, log10(remaining): 1, time elapsed: 8.860412
min(objective): 0.27853 -> 0.27642, length: 4, cache size: 699293
before garbage_collect. num_nodes: 699357, log10(remaining): 1
after garbage_collect. num_nodes: 699357, log10(remaining): 1
iter: 20000, tree: 1113572, queue: 1097221, pmap: 1075531, log10(remaining): 1, time elapsed: 17.027945
iter: 30000, tree: 1533891, queue: 1509965, pmap: 1477746, log10(remaining): 1, time elapsed: 24.742413
iter: 40000, tree: 1930421, queue: 1899003, pmap: 1856260, log10(remaining): 1, time elapsed: 32.544533
iter: 50000, tree: 2300867, queue: 2262091, pmap: 2210510, log10(remaining): 1, time elapsed: 39.946479
min(objective): 0.27642 -> 0.27502, length: 4, cache size: 2515414
before garbage_collect. num_nodes: 2515470, log10(remaining): 1
after garbage_collect. num_nodes: 2515470, log10(remaining): 1
iter: 60000, tree: 2680744, queue: 2634042, pmap: 2572705, log10(remaining): 1, time elapsed: 47.364646
iter: 70000, tree: 3040871, queue: 2986492, pmap: 2919630, log10(remaining): 1, time elapsed: 54.521343
iter: 80000, tree: 3395138, queue: 3333029, pmap: 3259165, log10(remaining): 1, time elapsed: 61.511531
iter: 90000, tree: 3741090, queue: 3671188, pmap: 3588461, log10(remaining): 1, time elapsed: 68.472221
iter: 100000, tree: 4056945, queue: 3979724, pmap: 3888455, log10(remaining): 1, time elapsed: 75.836162
min(objective): 0.27502 -> 0.26218, length: 3, cache size: 4163975
before garbage_collect. num_nodes: 4164030, log10(remaining): 1
after garbage_collect. num_nodes: 4164030, log10(remaining): 1
iter: 110000, tree: 4360872, queue: 4275216, pmap: 4178341, log10(remaining): 1, time elapsed: 82.752798
iter: 120000, tree: 4614645, queue: 4521283, pmap: 4416923, log10(remaining): 1, time elapsed: 89.030231
iter: 130000, tree: 4879896, queue: 4778385, pmap: 4667446, log10(remaining): 1, time elapsed: 95.222172
iter: 140000, tree: 5135804, queue: 5026171, pmap: 4907832, log10(remaining): 1, time elapsed: 101.369494
iter: 150000, tree: 5369829, queue: 5252476, pmap: 5129112, log10(remaining): 1, time elapsed: 107.464785
iter: 160000, tree: 5591711, queue: 5466993, pmap: 5340492, log10(remaining): 1, time elapsed: 113.528584
iter: 170000, tree: 5841407, queue: 5708242, pmap: 5577320, log10(remaining): 1, time elapsed: 119.533722
iter: 180000, tree: 6087009, queue: 5945573, pmap: 5812063, log10(remaining): 1, time elapsed: 125.522768
iter: 190000, tree: 6337811, queue: 6187833, pmap: 6048809, log10(remaining): 1, time elapsed: 131.509326
iter: 200000, tree: 6562411, queue: 6405004, pmap: 6258759, log10(remaining): 1, time elapsed: 137.553516
iter: 210000, tree: 6781026, queue: 6615844, pmap: 6462740, log10(remaining): 1, time elapsed: 143.563047
iter: 220000, tree: 7003932, queue: 6830998, pmap: 6673312, log10(remaining): 1, time elapsed: 149.549346
iter: 230000, tree: 7242280, queue: 7060705, pmap: 6895489, log10(remaining): 1, time elapsed: 155.524766
min(objective): 0.26218 -> 0.25678, length: 3, cache size: 7369315
