System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s50ky0.25_6_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.34537 -> 0.32211, length: 1, cache size: 26
min(objective): 0.32211 -> 0.31643, length: 1, cache size: 28
before garbage_collect. num_nodes: 113, log10(remaining): 1
after garbage_collect. num_nodes: 113, log10(remaining): 1
min(objective): 0.31643 -> 0.31267, length: 2, cache size: 114
min(objective): 0.31267 -> 0.30209, length: 2, cache size: 115
min(objective): 0.30209 -> 0.29649, length: 2, cache size: 123
before garbage_collect. num_nodes: 214, log10(remaining): 1
after garbage_collect. num_nodes: 214, log10(remaining): 1
min(objective): 0.29649 -> 0.29253, length: 2, cache size: 224
before garbage_collect. num_nodes: 315, log10(remaining): 1
after garbage_collect. num_nodes: 315, log10(remaining): 1
min(objective): 0.29253 -> 0.29147, length: 2, cache size: 510
min(objective): 0.29147 -> 0.28675, length: 2, cache size: 516
min(objective): 0.28675 -> 0.28311, length: 2, cache size: 518
min(objective): 0.28311 -> 0.28045, length: 2, cache size: 519
before garbage_collect. num_nodes: 606, log10(remaining): 1
after garbage_collect. num_nodes: 606, log10(remaining): 1
min(objective): 0.28045 -> 0.27982, length: 4, cache size: 30905
min(objective): 0.27982 -> 0.27926, length: 4, cache size: 30907
min(objective): 0.27926 -> 0.27580, length: 4, cache size: 30908
before garbage_collect. num_nodes: 30967, log10(remaining): 1
after garbage_collect. num_nodes: 30967, log10(remaining): 1
min(objective): 0.27580 -> 0.27546, length: 4, cache size: 112688
before garbage_collect. num_nodes: 112741, log10(remaining): 1
after garbage_collect. num_nodes: 112741, log10(remaining): 1
min(objective): 0.27546 -> 0.26266, length: 3, cache size: 173337
before garbage_collect. num_nodes: 173387, log10(remaining): 1
after garbage_collect. num_nodes: 173387, log10(remaining): 1
iter: 10000, tree: 325544, queue: 316688, pmap: 313616, log10(remaining): 1, time elapsed: 5.876418
min(objective): 0.26266 -> 0.25698, length: 3, cache size: 325622
before garbage_collect. num_nodes: 325654, log10(remaining): 1
after garbage_collect. num_nodes: 325654, log10(remaining): 1
iter: 20000, tree: 495405, queue: 477562, pmap: 474654, log10(remaining): 1, time elapsed: 10.683141
iter: 30000, tree: 628203, queue: 601281, pmap: 599772, log10(remaining): 1, time elapsed: 15.194760
iter: 40000, tree: 745765, queue: 709771, pmap: 710054, log10(remaining): 1, time elapsed: 19.547968
iter: 50000, tree: 850888, queue: 805905, pmap: 807348, log10(remaining): 1, time elapsed: 23.870633
iter: 60000, tree: 947584, queue: 893541, pmap: 896375, log10(remaining): 1, time elapsed: 28.060162
iter: 70000, tree: 1041368, queue: 978298, pmap: 982941, log10(remaining): 1, time elapsed: 32.260189
iter: 80000, tree: 1125618, queue: 1053656, pmap: 1060158, log10(remaining): 1, time elapsed: 36.372923
iter: 90000, tree: 1206193, queue: 1125268, pmap: 1134318, log10(remaining): 1, time elapsed: 40.358086
iter: 100000, tree: 1286318, queue: 1196230, pmap: 1207244, log10(remaining): 1, time elapsed: 44.278405
iter: 110000, tree: 1357011, queue: 1258155, pmap: 1270557, log10(remaining): 1, time elapsed: 48.206233
iter: 120000, tree: 1422919, queue: 1315028, pmap: 1328790, log10(remaining): 1, time elapsed: 52.090926
iter: 130000, tree: 1487173, queue: 1370213, pmap: 1385342, log10(remaining): 1, time elapsed: 55.925806
iter: 140000, tree: 1548268, queue: 1422458, pmap: 1439479, log10(remaining): 1, time elapsed: 59.713483
iter: 150000, tree: 1600871, queue: 1466250, pmap: 1484891, log10(remaining): 1, time elapsed: 63.460019
iter: 160000, tree: 1654066, queue: 1510545, pmap: 1529784, log10(remaining): 1, time elapsed: 67.191320
iter: 170000, tree: 1704695, queue: 1552324, pmap: 1572820, log10(remaining): 1, time elapsed: 70.909066
iter: 180000, tree: 1753956, queue: 1592884, pmap: 1614638, log10(remaining): 1, time elapsed: 74.632674
iter: 190000, tree: 1800443, queue: 1630626, pmap: 1655163, log10(remaining): 1, time elapsed: 78.289761
iter: 200000, tree: 1841205, queue: 1662971, pmap: 1689607, log10(remaining): 1, time elapsed: 81.941295
iter: 210000, tree: 1876419, queue: 1689804, pmap: 1718874, log10(remaining): 1, time elapsed: 85.559868
iter: 220000, tree: 1912227, queue: 1717278, pmap: 1749038, log10(remaining): 1, time elapsed: 89.180653
iter: 230000, tree: 1946955, queue: 1743654, pmap: 1778920, log10(remaining): 1, time elapsed: 92.766853
iter: 240000, tree: 1981327, queue: 1769625, pmap: 1807682, log10(remaining): 1, time elapsed: 96.354276
