System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s5ky0.25_4_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.35516 -> 0.31851, length: 1, cache size: 25
before garbage_collect. num_nodes: 111, log10(remaining): 1
after garbage_collect. num_nodes: 111, log10(remaining): 1
min(objective): 0.31851 -> 0.31049, length: 2, cache size: 119
min(objective): 0.31049 -> 0.30729, length: 2, cache size: 121
before garbage_collect. num_nodes: 215, log10(remaining): 1
after garbage_collect. num_nodes: 215, log10(remaining): 1
min(objective): 0.30729 -> 0.30448, length: 2, cache size: 225
before garbage_collect. num_nodes: 316, log10(remaining): 1
after garbage_collect. num_nodes: 316, log10(remaining): 1
min(objective): 0.30448 -> 0.30088, length: 2, cache size: 514
min(objective): 0.30088 -> 0.28587, length: 2, cache size: 520
min(objective): 0.28587 -> 0.28587, length: 2, cache size: 566
before garbage_collect. num_nodes: 609, log10(remaining): 1
after garbage_collect. num_nodes: 609, log10(remaining): 1
min(objective): 0.28587 -> 0.27704, length: 4, cache size: 29432
min(objective): 0.27704 -> 0.27403, length: 4, cache size: 29451
before garbage_collect. num_nodes: 29492, log10(remaining): 1
after garbage_collect. num_nodes: 29492, log10(remaining): 1
min(objective): 0.27403 -> 0.27303, length: 4, cache size: 38170
before garbage_collect. num_nodes: 38211, log10(remaining): 1
after garbage_collect. num_nodes: 38211, log10(remaining): 1
min(objective): 0.27303 -> 0.27303, length: 4, cache size: 85935
before garbage_collect. num_nodes: 86018, log10(remaining): 1
after garbage_collect. num_nodes: 86018, log10(remaining): 1
min(objective): 0.27303 -> 0.27203, length: 4, cache size: 120726
before garbage_collect. num_nodes: 120778, log10(remaining): 1
after garbage_collect. num_nodes: 120778, log10(remaining): 1
min(objective): 0.27203 -> 0.26564, length: 3, cache size: 254999
before garbage_collect. num_nodes: 255040, log10(remaining): 1
after garbage_collect. num_nodes: 255040, log10(remaining): 1
iter: 10000, tree: 344467, queue: 335688, pmap: 333174, log10(remaining): 1, time elapsed: 1.192485
iter: 20000, tree: 579910, queue: 562213, pmap: 559633, log10(remaining): 1, time elapsed: 2.171017
min(objective): 0.26564 -> 0.26442, length: 4, cache size: 657830
before garbage_collect. num_nodes: 657875, log10(remaining): 1
after garbage_collect. num_nodes: 657875, log10(remaining): 1
iter: 30000, tree: 785680, queue: 758747, pmap: 757236, log10(remaining): 1, time elapsed: 3.085625
iter: 40000, tree: 966585, queue: 930478, pmap: 930427, log10(remaining): 1, time elapsed: 4.005488
iter: 50000, tree: 1128616, queue: 1083455, pmap: 1083121, log10(remaining): 1, time elapsed: 4.829507
iter: 60000, tree: 1280475, queue: 1226052, pmap: 1226804, log10(remaining): 1, time elapsed: 5.596220
iter: 70000, tree: 1421255, queue: 1357445, pmap: 1361292, log10(remaining): 1, time elapsed: 6.359159
iter: 80000, tree: 1553156, queue: 1480132, pmap: 1485624, log10(remaining): 1, time elapsed: 7.102246
iter: 90000, tree: 1680308, queue: 1598072, pmap: 1604674, log10(remaining): 1, time elapsed: 7.827298
iter: 100000, tree: 1801630, queue: 1710055, pmap: 1718168, log10(remaining): 1, time elapsed: 8.539048
iter: 110000, tree: 1919901, queue: 1818824, pmap: 1828859, log10(remaining): 1, time elapsed: 9.238314
iter: 120000, tree: 2028309, queue: 1918046, pmap: 1928177, log10(remaining): 1, time elapsed: 10.183160
iter: 130000, tree: 2136060, queue: 2016577, pmap: 2026940, log10(remaining): 1, time elapsed: 10.863383
iter: 140000, tree: 2236065, queue: 2107511, pmap: 2118617, log10(remaining): 1, time elapsed: 11.536270
iter: 150000, tree: 2334713, queue: 2197005, pmap: 2208779, log10(remaining): 1, time elapsed: 12.205238
min(objective): 0.26442 -> 0.26442, length: 4, cache size: 2335620
before garbage_collect. num_nodes: 2335644, log10(remaining): 1
after garbage_collect. num_nodes: 2335644, log10(remaining): 1
iter: 160000, tree: 2433486, queue: 2286460, pmap: 2299119, log10(remaining): 1, time elapsed: 13.087511
iter: 170000, tree: 2528563, queue: 2372287, pmap: 2387040, log10(remaining): 1, time elapsed: 13.752671
iter: 180000, tree: 2619780, queue: 2454293, pmap: 2470475, log10(remaining): 1, time elapsed: 14.401286
iter: 190000, tree: 2710664, queue: 2536139, pmap: 2553111, log10(remaining): 1, time elapsed: 15.051375
iter: 200000, tree: 2800357, queue: 2616570, pmap: 2634805, log10(remaining): 1, time elapsed: 15.703189
iter: 210000, tree: 2884049, queue: 2691043, pmap: 2710786, log10(remaining): 1, time elapsed: 16.351313
iter: 220000, tree: 2968656, queue: 2766519, pmap: 2787382, log10(remaining): 1, time elapsed: 16.996853
iter: 230000, tree: 3043741, queue: 2832671, pmap: 2854624, log10(remaining): 1, time elapsed: 17.626021
iter: 240000, tree: 3123016, queue: 2902693, pmap: 2928309, log10(remaining): 1, time elapsed: 18.243978
iter: 250000, tree: 3202018, queue: 2972395, pmap: 2998608, log10(remaining): 1, time elapsed: 18.864114
iter: 260000, tree: 3275702, queue: 3036941, pmap: 3064988, log10(remaining): 1, time elapsed: 19.481537
iter: 270000, tree: 3349099, queue: 3101057, pmap: 3130397, log10(remaining): 1, time elapsed: 20.101818
iter: 280000, tree: 3417949, queue: 3160684, pmap: 3192423, log10(remaining): 1, time elapsed: 20.707604
iter: 290000, tree: 3484603, queue: 3218070, pmap: 3252575, log10(remaining): 1, time elapsed: 21.302214
iter: 300000, tree: 3555525, queue: 3279846, pmap: 3314595, log10(remaining): 1, time elapsed: 21.908066
iter: 310000, tree: 3620905, queue: 3335964, pmap: 3372466, log10(remaining): 1, time elapsed: 22.504678
iter: 320000, tree: 3684557, queue: 3390335, pmap: 3430117, log10(remaining): 1, time elapsed: 23.092129
iter: 330000, tree: 3753332, queue: 3450055, pmap: 3487912, log10(remaining): 1, time elapsed: 23.691374
iter: 340000, tree: 3811466, queue: 3499235, pmap: 3537761, log10(remaining): 1, time elapsed: 24.276842
iter: 350000, tree: 3875679, queue: 3554276, pmap: 3590708, log10(remaining): 1, time elapsed: 24.857049
iter: 360000, tree: 3935934, queue: 3605571, pmap: 3642364, log10(remaining): 1, time elapsed: 25.442649
iter: 370000, tree: 3991571, queue: 3652446, pmap: 3691248, log10(remaining): 1, time elapsed: 26.033262
iter: 380000, tree: 4051579, queue: 3703279, pmap: 3742005, log10(remaining): 1, time elapsed: 27.106270
iter: 390000, tree: 4108137, queue: 3750947, pmap: 3791229, log10(remaining): 1, time elapsed: 27.685469
iter: 400000, tree: 4161340, queue: 3795053, pmap: 3838508, log10(remaining): 1, time elapsed: 28.254647
iter: 410000, tree: 4217788, queue: 3842504, pmap: 3886543, log10(remaining): 1, time elapsed: 28.830832
iter: 420000, tree: 4271427, queue: 3887248, pmap: 3932850, log10(remaining): 1, time elapsed: 29.395543
iter: 430000, tree: 4319167, queue: 3926252, pmap: 3973403, log10(remaining): 1, time elapsed: 29.951336
iter: 440000, tree: 4370308, queue: 3968711, pmap: 4017126, log10(remaining): 1, time elapsed: 30.511501
iter: 450000, tree: 4423692, queue: 4013542, pmap: 4062703, log10(remaining): 1, time elapsed: 31.075593
iter: 460000, tree: 4473799, queue: 4054718, pmap: 4105270, log10(remaining): 1, time elapsed: 31.633463
iter: 470000, tree: 4520736, queue: 4093558, pmap: 4145349, log10(remaining): 1, time elapsed: 32.193952
iter: 480000, tree: 4571279, queue: 4135435, pmap: 4187608, log10(remaining): 1, time elapsed: 32.755469
iter: 490000, tree: 4619156, queue: 4174743, pmap: 4230355, log10(remaining): 1, time elapsed: 33.316047
iter: 500000, tree: 4664185, queue: 4211148, pmap: 4268262, log10(remaining): 1, time elapsed: 33.881856
iter: 510000, tree: 4708453, queue: 4246787, pmap: 4305848, log10(remaining): 1, time elapsed: 34.431821
iter: 520000, tree: 4750758, queue: 4280531, pmap: 4341603, log10(remaining): 1, time elapsed: 34.980314
iter: 530000, tree: 4795562, queue: 4316592, pmap: 4379764, log10(remaining): 1, time elapsed: 35.522406
