System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s10ky0.25_0_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.35544 -> 0.32373, length: 1, cache size: 26
before garbage_collect. num_nodes: 113, log10(remaining): 1
after garbage_collect. num_nodes: 113, log10(remaining): 1
min(objective): 0.32373 -> 0.32033, length: 2, cache size: 115
min(objective): 0.32033 -> 0.31323, length: 2, cache size: 121
min(objective): 0.31323 -> 0.30883, length: 2, cache size: 123
min(objective): 0.30883 -> 0.30883, length: 2, cache size: 173
before garbage_collect. num_nodes: 219, log10(remaining): 1
after garbage_collect. num_nodes: 219, log10(remaining): 1
min(objective): 0.30883 -> 0.30563, length: 2, cache size: 229
before garbage_collect. num_nodes: 325, log10(remaining): 1
after garbage_collect. num_nodes: 325, log10(remaining): 1
min(objective): 0.30563 -> 0.30253, length: 2, cache size: 525
min(objective): 0.30253 -> 0.28953, length: 2, cache size: 531
before garbage_collect. num_nodes: 622, log10(remaining): 1
after garbage_collect. num_nodes: 622, log10(remaining): 1
min(objective): 0.28953 -> 0.28212, length: 4, cache size: 37618
before garbage_collect. num_nodes: 37680, log10(remaining): 1
after garbage_collect. num_nodes: 37680, log10(remaining): 1
min(objective): 0.28212 -> 0.28042, length: 4, cache size: 46717
min(objective): 0.28042 -> 0.28042, length: 4, cache size: 46751
before garbage_collect. num_nodes: 46779, log10(remaining): 1
after garbage_collect. num_nodes: 46779, log10(remaining): 1
min(objective): 0.28042 -> 0.26792, length: 3, cache size: 284953
before garbage_collect. num_nodes: 284999, log10(remaining): 1
after garbage_collect. num_nodes: 284999, log10(remaining): 1
iter: 10000, tree: 372723, queue: 363999, pmap: 360689, log10(remaining): 1, time elapsed: 1.787773
min(objective): 0.26792 -> 0.26692, length: 3, cache size: 589709
before garbage_collect. num_nodes: 589738, log10(remaining): 1
after garbage_collect. num_nodes: 589738, log10(remaining): 1
iter: 20000, tree: 619004, queue: 601264, pmap: 598551, log10(remaining): 1, time elapsed: 3.295226
min(objective): 0.26692 -> 0.26672, length: 4, cache size: 739037
before garbage_collect. num_nodes: 739084, log10(remaining): 1
after garbage_collect. num_nodes: 739084, log10(remaining): 1
iter: 30000, tree: 831072, queue: 804291, pmap: 803081, log10(remaining): 1, time elapsed: 4.708389
min(objective): 0.26672 -> 0.26602, length: 3, cache size: 886766
before garbage_collect. num_nodes: 886800, log10(remaining): 1
after garbage_collect. num_nodes: 886800, log10(remaining): 1
iter: 40000, tree: 1023707, queue: 987607, pmap: 988662, log10(remaining): 1, time elapsed: 6.153738
iter: 50000, tree: 1197653, queue: 1152335, pmap: 1154915, log10(remaining): 1, time elapsed: 7.410344
iter: 60000, tree: 1358121, queue: 1303425, pmap: 1308518, log10(remaining): 1, time elapsed: 8.636658
iter: 70000, tree: 1506295, queue: 1442384, pmap: 1449100, log10(remaining): 1, time elapsed: 9.820582
iter: 80000, tree: 1645824, queue: 1572666, pmap: 1580749, log10(remaining): 1, time elapsed: 11.007232
iter: 90000, tree: 1778122, queue: 1695546, pmap: 1706276, log10(remaining): 1, time elapsed: 12.158489
iter: 100000, tree: 1901681, queue: 1809700, pmap: 1821322, log10(remaining): 1, time elapsed: 13.291071
iter: 110000, tree: 2017733, queue: 1916339, pmap: 1930300, log10(remaining): 1, time elapsed: 14.615463
iter: 120000, tree: 2133519, queue: 2022844, pmap: 2039003, log10(remaining): 1, time elapsed: 15.709309
iter: 130000, tree: 2245755, queue: 2125749, pmap: 2142905, log10(remaining): 1, time elapsed: 16.832868
iter: 140000, tree: 2353871, queue: 2224521, pmap: 2242098, log10(remaining): 1, time elapsed: 17.911780
iter: 150000, tree: 2460980, queue: 2322180, pmap: 2340975, log10(remaining): 1, time elapsed: 18.981807
iter: 160000, tree: 2565189, queue: 2416865, pmap: 2436554, log10(remaining): 1, time elapsed: 20.038822
iter: 170000, tree: 2666237, queue: 2508614, pmap: 2529756, log10(remaining): 1, time elapsed: 21.103600
iter: 180000, tree: 2760802, queue: 2594136, pmap: 2616087, log10(remaining): 1, time elapsed: 22.169476
iter: 190000, tree: 2855525, queue: 2679695, pmap: 2700465, log10(remaining): 1, time elapsed: 23.222081
