System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s10ky0.25_6_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.35334 -> 0.32473, length: 1, cache size: 26
before garbage_collect. num_nodes: 113, log10(remaining): 1
after garbage_collect. num_nodes: 113, log10(remaining): 1
min(objective): 0.32473 -> 0.31853, length: 2, cache size: 115
min(objective): 0.31853 -> 0.31183, length: 2, cache size: 121
min(objective): 0.31183 -> 0.30813, length: 2, cache size: 123
before garbage_collect. num_nodes: 219, log10(remaining): 1
after garbage_collect. num_nodes: 219, log10(remaining): 1
min(objective): 0.30813 -> 0.30803, length: 2, cache size: 227
min(objective): 0.30803 -> 0.30433, length: 2, cache size: 229
before garbage_collect. num_nodes: 325, log10(remaining): 1
after garbage_collect. num_nodes: 325, log10(remaining): 1
min(objective): 0.30433 -> 0.29853, length: 2, cache size: 528
min(objective): 0.29853 -> 0.28703, length: 2, cache size: 534
min(objective): 0.28703 -> 0.28703, length: 2, cache size: 580
before garbage_collect. num_nodes: 625, log10(remaining): 1
after garbage_collect. num_nodes: 625, log10(remaining): 1
min(objective): 0.28703 -> 0.28122, length: 4, cache size: 38576
before garbage_collect. num_nodes: 38638, log10(remaining): 1
after garbage_collect. num_nodes: 38638, log10(remaining): 1
min(objective): 0.28122 -> 0.28062, length: 4, cache size: 49123
before garbage_collect. num_nodes: 49185, log10(remaining): 1
after garbage_collect. num_nodes: 49185, log10(remaining): 1
min(objective): 0.28062 -> 0.28062, length: 4, cache size: 148613
before garbage_collect. num_nodes: 148702, log10(remaining): 1
after garbage_collect. num_nodes: 148702, log10(remaining): 1
min(objective): 0.28062 -> 0.27922, length: 4, cache size: 159139
before garbage_collect. num_nodes: 159192, log10(remaining): 1
after garbage_collect. num_nodes: 159192, log10(remaining): 1
min(objective): 0.27922 -> 0.26732, length: 3, cache size: 272498
before garbage_collect. num_nodes: 272544, log10(remaining): 1
after garbage_collect. num_nodes: 272544, log10(remaining): 1
iter: 10000, tree: 377471, queue: 368652, pmap: 365233, log10(remaining): 1, time elapsed: 1.822031
min(objective): 0.26732 -> 0.26652, length: 3, cache size: 605032
before garbage_collect. num_nodes: 605066, log10(remaining): 1
after garbage_collect. num_nodes: 605066, log10(remaining): 1
iter: 20000, tree: 624819, queue: 607008, pmap: 603556, log10(remaining): 1, time elapsed: 3.329498
min(objective): 0.26652 -> 0.26532, length: 4, cache size: 677919
before garbage_collect. num_nodes: 677967, log10(remaining): 1
after garbage_collect. num_nodes: 677967, log10(remaining): 1
iter: 30000, tree: 835933, queue: 808995, pmap: 806705, log10(remaining): 1, time elapsed: 4.730621
iter: 40000, tree: 1024810, queue: 988714, pmap: 988499, log10(remaining): 1, time elapsed: 6.097178
iter: 50000, tree: 1197616, queue: 1152345, pmap: 1153271, log10(remaining): 1, time elapsed: 7.343098
iter: 60000, tree: 1359493, queue: 1304900, pmap: 1307362, log10(remaining): 1, time elapsed: 8.573598
iter: 70000, tree: 1509993, queue: 1446091, pmap: 1449821, log10(remaining): 1, time elapsed: 9.757017
iter: 80000, tree: 1656020, queue: 1582835, pmap: 1587483, log10(remaining): 1, time elapsed: 10.954396
iter: 90000, tree: 1785261, queue: 1702849, pmap: 1708977, log10(remaining): 1, time elapsed: 12.127943
iter: 100000, tree: 1913327, queue: 1821594, pmap: 1830068, log10(remaining): 1, time elapsed: 13.261697
iter: 110000, tree: 2030007, queue: 1929044, pmap: 1938664, log10(remaining): 1, time elapsed: 14.587734
iter: 120000, tree: 2143693, queue: 2033420, pmap: 2045699, log10(remaining): 1, time elapsed: 15.682145
iter: 130000, tree: 2256561, queue: 2137050, pmap: 2150043, log10(remaining): 1, time elapsed: 16.800462
iter: 140000, tree: 2364540, queue: 2235726, pmap: 2249628, log10(remaining): 1, time elapsed: 17.877458
iter: 150000, tree: 2469449, queue: 2331363, pmap: 2345214, log10(remaining): 1, time elapsed: 18.948896
iter: 160000, tree: 2571108, queue: 2423705, pmap: 2438807, log10(remaining): 1, time elapsed: 20.009789
iter: 170000, tree: 2671635, queue: 2514950, pmap: 2531243, log10(remaining): 1, time elapsed: 21.072545
iter: 180000, tree: 2768175, queue: 2602212, pmap: 2617817, log10(remaining): 1, time elapsed: 22.152602
iter: 190000, tree: 2861722, queue: 2686652, pmap: 2701846, log10(remaining): 1, time elapsed: 23.205974
iter: 200000, tree: 2953913, queue: 2769670, pmap: 2785081, log10(remaining): 1, time elapsed: 24.244988
