System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s10ky0.28_2_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.35684 -> 0.32353, length: 1, cache size: 24
before garbage_collect. num_nodes: 99, log10(remaining): 1
after garbage_collect. num_nodes: 99, log10(remaining): 1
min(objective): 0.32353 -> 0.31403, length: 2, cache size: 100
min(objective): 0.31403 -> 0.29803, length: 2, cache size: 101
min(objective): 0.29803 -> 0.28753, length: 2, cache size: 106
min(objective): 0.28753 -> 0.28753, length: 2, cache size: 147
before garbage_collect. num_nodes: 185, log10(remaining): 1
after garbage_collect. num_nodes: 185, log10(remaining): 1
min(objective): 0.28753 -> 0.28312, length: 4, cache size: 4581
min(objective): 0.28312 -> 0.28212, length: 4, cache size: 4600
before garbage_collect. num_nodes: 4636, log10(remaining): 1
after garbage_collect. num_nodes: 4636, log10(remaining): 1
min(objective): 0.28212 -> 0.28092, length: 4, cache size: 6561
min(objective): 0.28092 -> 0.28062, length: 4, cache size: 6580
min(objective): 0.28062 -> 0.28062, length: 4, cache size: 6606
before garbage_collect. num_nodes: 6616, log10(remaining): 1
after garbage_collect. num_nodes: 6616, log10(remaining): 1
min(objective): 0.28062 -> 0.27592, length: 3, cache size: 225745
before garbage_collect. num_nodes: 225776, log10(remaining): 1
after garbage_collect. num_nodes: 225776, log10(remaining): 1
min(objective): 0.27592 -> 0.27352, length: 3, cache size: 239339
before garbage_collect. num_nodes: 239366, log10(remaining): 1
after garbage_collect. num_nodes: 239366, log10(remaining): 1
iter: 10000, tree: 269668, queue: 260116, pmap: 261167, log10(remaining): 1, time elapsed: 1.398567
min(objective): 0.27352 -> 0.27302, length: 4, cache size: 392431
before garbage_collect. num_nodes: 392453, log10(remaining): 1
after garbage_collect. num_nodes: 392453, log10(remaining): 1
iter: 20000, tree: 418613, queue: 399602, pmap: 400715, log10(remaining): 1, time elapsed: 2.507520
iter: 30000, tree: 526053, queue: 497771, pmap: 498299, log10(remaining): 1, time elapsed: 3.538033
iter: 40000, tree: 605050, queue: 567607, pmap: 567950, log10(remaining): 1, time elapsed: 4.495072
iter: 50000, tree: 670311, queue: 623934, pmap: 622778, log10(remaining): 1, time elapsed: 5.406006
iter: 60000, tree: 730622, queue: 675261, pmap: 673204, log10(remaining): 1, time elapsed: 6.289104
iter: 70000, tree: 782083, queue: 718192, pmap: 714720, log10(remaining): 1, time elapsed: 7.154345
iter: 80000, tree: 825253, queue: 752637, pmap: 748955, log10(remaining): 1, time elapsed: 8.012698
iter: 90000, tree: 864726, queue: 783733, pmap: 779610, log10(remaining): 1, time elapsed: 8.841160
iter: 100000, tree: 895000, queue: 805891, pmap: 801563, log10(remaining): 1, time elapsed: 9.643489
iter: 110000, tree: 920481, queue: 823798, pmap: 820210, log10(remaining): 1, time elapsed: 10.433900
iter: 120000, tree: 944859, queue: 840948, pmap: 839492, log10(remaining): 1, time elapsed: 11.213630
iter: 130000, tree: 963029, queue: 851763, pmap: 853311, log10(remaining): 1, time elapsed: 11.974045
iter: 140000, tree: 977885, queue: 860149, pmap: 865404, log10(remaining): 1, time elapsed: 12.719257
iter: 150000, tree: 993799, queue: 869126, pmap: 877625, log10(remaining): 1, time elapsed: 13.462782
iter: 160000, tree: 1004503, queue: 873913, pmap: 887924, log10(remaining): 1, time elapsed: 14.197771
iter: 170000, tree: 1011136, queue: 875691, pmap: 895775, log10(remaining): 1, time elapsed: 14.918036
iter: 180000, tree: 1014211, queue: 874416, pmap: 901840, log10(remaining): 1, time elapsed: 15.621922
iter: 190000, tree: 1016863, queue: 872920, pmap: 907078, log10(remaining): 1, time elapsed: 16.426047
iter: 200000, tree: 1019756, queue: 871781, pmap: 912950, log10(remaining): 1, time elapsed: 17.147660
iter: 210000, tree: 1021473, queue: 869323, pmap: 917707, log10(remaining): 1, time elapsed: 17.848220
iter: 220000, tree: 1020136, queue: 864985, pmap: 922077, log10(remaining): 1, time elapsed: 18.535345
iter: 230000, tree: 1017940, queue: 859801, pmap: 925373, log10(remaining): 1, time elapsed: 19.213068
iter: 240000, tree: 1015080, queue: 854239, pmap: 928979, log10(remaining): 1, time elapsed: 19.889498
iter: 250000, tree: 1009511, queue: 846978, pmap: 931228, log10(remaining): 1, time elapsed: 20.560800
iter: 260000, tree: 1002492, queue: 838767, pmap: 932750, log10(remaining): 1, time elapsed: 21.218665
iter: 270000, tree: 996165, queue: 830992, pmap: 934826, log10(remaining): 1, time elapsed: 21.879855
iter: 280000, tree: 988951, queue: 822589, pmap: 936318, log10(remaining): 1, time elapsed: 22.539247
iter: 290000, tree: 981046, queue: 813887, pmap: 937582, log10(remaining): 1, time elapsed: 23.192234
iter: 300000, tree: 972068, queue: 804443, pmap: 938138, log10(remaining): 1, time elapsed: 23.844120
iter: 310000, tree: 963012, queue: 794929, pmap: 938674, log10(remaining): 1, time elapsed: 24.489572
iter: 320000, tree: 953704, queue: 785276, pmap: 939050, log10(remaining): 1, time elapsed: 25.129030
iter: 330000, tree: 945117, queue: 775987, pmap: 939737, log10(remaining): 1, time elapsed: 25.769528
iter: 340000, tree: 935985, queue: 766407, pmap: 940190, log10(remaining): 1, time elapsed: 26.407353
iter: 350000, tree: 926122, queue: 756425, pmap: 940297, log10(remaining): 1, time elapsed: 27.035703
iter: 360000, tree: 916627, queue: 746625, pmap: 940430, log10(remaining): 1, time elapsed: 27.664556
iter: 370000, tree: 907130, queue: 736848, pmap: 940584, log10(remaining): 1, time elapsed: 28.290818
iter: 380000, tree: 897129, queue: 726828, pmap: 940668, log10(remaining): 1, time elapsed: 28.923518
iter: 390000, tree: 887084, queue: 716791, pmap: 940699, log10(remaining): 1, time elapsed: 29.551015
iter: 400000, tree: 876921, queue: 706689, pmap: 940736, log10(remaining): 1, time elapsed: 30.169993
iter: 410000, tree: 866713, queue: 696547, pmap: 940756, log10(remaining): 1, time elapsed: 30.796159
iter: 420000, tree: 856421, queue: 686414, pmap: 940756, log10(remaining): 1, time elapsed: 31.415631
iter: 430000, tree: 846132, queue: 676246, pmap: 940756, log10(remaining): 1, time elapsed: 32.028888
iter: 440000, tree: 835888, queue: 666121, pmap: 940756, log10(remaining): 1, time elapsed: 32.661366
iter: 450000, tree: 825414, queue: 655997, pmap: 940756, log10(remaining): 1, time elapsed: 33.290672
iter: 460000, tree: 815085, queue: 645876, pmap: 940756, log10(remaining): 1, time elapsed: 33.915601
iter: 470000, tree: 804786, queue: 635777, pmap: 940756, log10(remaining): 1, time elapsed: 34.538205
iter: 480000, tree: 794440, queue: 625573, pmap: 940756, log10(remaining): 1, time elapsed: 35.155130
iter: 490000, tree: 784136, queue: 615450, pmap: 940756, log10(remaining): 1, time elapsed: 35.764380
iter: 500000, tree: 773740, queue: 605289, pmap: 940756, log10(remaining): 1, time elapsed: 36.377109
iter: 510000, tree: 763410, queue: 595141, pmap: 940756, log10(remaining): 1, time elapsed: 36.983955
iter: 520000, tree: 753000, queue: 585046, pmap: 940756, log10(remaining): 1, time elapsed: 37.586912
iter: 530000, tree: 742516, queue: 574893, pmap: 940756, log10(remaining): 1, time elapsed: 38.184222
iter: 540000, tree: 731859, queue: 564724, pmap: 940756, log10(remaining): 1, time elapsed: 38.788802
iter: 550000, tree: 721366, queue: 554578, pmap: 940756, log10(remaining): 1, time elapsed: 39.389544
iter: 560000, tree: 710575, queue: 544421, pmap: 940756, log10(remaining): 1, time elapsed: 39.988913
iter: 570000, tree: 699913, queue: 534241, pmap: 940756, log10(remaining): 1, time elapsed: 40.586589
iter: 580000, tree: 689319, queue: 524095, pmap: 940756, log10(remaining): 1, time elapsed: 41.190672
iter: 590000, tree: 678696, queue: 513989, pmap: 940756, log10(remaining): 1, time elapsed: 41.788940
iter: 600000, tree: 668038, queue: 503911, pmap: 940756, log10(remaining): 1, time elapsed: 42.376354
iter: 610000, tree: 657218, queue: 493737, pmap: 940756, log10(remaining): 1, time elapsed: 42.984211
iter: 620000, tree: 646267, queue: 483570, pmap: 940756, log10(remaining): 1, time elapsed: 43.579857
iter: 630000, tree: 635037, queue: 473463, pmap: 940756, log10(remaining): 1, time elapsed: 44.162604
iter: 640000, tree: 623718, queue: 463352, pmap: 940756, log10(remaining): 1, time elapsed: 44.754359
iter: 650000, tree: 612898, queue: 453238, pmap: 940756, log10(remaining): 1, time elapsed: 45.345161
iter: 660000, tree: 601846, queue: 443102, pmap: 940756, log10(remaining): 1, time elapsed: 45.938658
iter: 670000, tree: 590939, queue: 432995, pmap: 940756, log10(remaining): 1, time elapsed: 46.535609
iter: 680000, tree: 579835, queue: 422866, pmap: 940756, log10(remaining): 1, time elapsed: 47.126129
iter: 690000, tree: 568454, queue: 412688, pmap: 940756, log10(remaining): 1, time elapsed: 47.715009
iter: 700000, tree: 557230, queue: 402575, pmap: 940756, log10(remaining): 1, time elapsed: 48.305088
iter: 710000, tree: 545832, queue: 392444, pmap: 940756, log10(remaining): 1, time elapsed: 48.884896
iter: 720000, tree: 533925, queue: 382221, pmap: 940756, log10(remaining): 1, time elapsed: 49.475925
iter: 730000, tree: 522353, queue: 372104, pmap: 940756, log10(remaining): 1, time elapsed: 50.048807
iter: 740000, tree: 510779, queue: 361933, pmap: 940756, log10(remaining): 1, time elapsed: 50.645515
iter: 750000, tree: 498981, queue: 351826, pmap: 940756, log10(remaining): 1, time elapsed: 51.218802
iter: 760000, tree: 487153, queue: 341698, pmap: 940756, log10(remaining): 1, time elapsed: 51.808969
iter: 770000, tree: 475467, queue: 331578, pmap: 940756, log10(remaining): 1, time elapsed: 52.399608
