System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s5ky0.28_0_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.35435 -> 0.31711, length: 1, cache size: 24
before garbage_collect. num_nodes: 98, log10(remaining): 1
after garbage_collect. num_nodes: 98, log10(remaining): 1
min(objective): 0.31711 -> 0.30068, length: 2, cache size: 100
min(objective): 0.30068 -> 0.28667, length: 2, cache size: 105
before garbage_collect. num_nodes: 183, log10(remaining): 1
after garbage_collect. num_nodes: 183, log10(remaining): 1
min(objective): 0.28667 -> 0.28667, length: 2, cache size: 1238
before garbage_collect. num_nodes: 1293, log10(remaining): 1
after garbage_collect. num_nodes: 1293, log10(remaining): 1
min(objective): 0.28667 -> 0.28486, length: 2, cache size: 3164
before garbage_collect. num_nodes: 3198, log10(remaining): 1
after garbage_collect. num_nodes: 3198, log10(remaining): 1
min(objective): 0.28486 -> 0.27664, length: 4, cache size: 4033
min(objective): 0.27664 -> 0.27263, length: 4, cache size: 4052
min(objective): 0.27263 -> 0.27263, length: 4, cache size: 4078
before garbage_collect. num_nodes: 4088, log10(remaining): 1
after garbage_collect. num_nodes: 4088, log10(remaining): 1
iter: 10000, tree: 253689, queue: 244103, pmap: 245497, log10(remaining): 1, time elapsed: 0.891898
iter: 20000, tree: 423163, queue: 404203, pmap: 407043, log10(remaining): 1, time elapsed: 1.608579
min(objective): 0.27263 -> 0.27083, length: 4, cache size: 440239
before garbage_collect. num_nodes: 440265, log10(remaining): 1
after garbage_collect. num_nodes: 440265, log10(remaining): 1
iter: 30000, tree: 546587, queue: 518321, pmap: 522588, log10(remaining): 1, time elapsed: 2.358397
iter: 40000, tree: 640999, queue: 603597, pmap: 607537, log10(remaining): 1, time elapsed: 2.970649
iter: 50000, tree: 724946, queue: 678489, pmap: 680443, log10(remaining): 1, time elapsed: 3.565346
iter: 60000, tree: 799990, queue: 744267, pmap: 746066, log10(remaining): 1, time elapsed: 4.157293
iter: 70000, tree: 860635, queue: 795873, pmap: 797146, log10(remaining): 1, time elapsed: 4.736474
iter: 80000, tree: 908712, queue: 835581, pmap: 836317, log10(remaining): 1, time elapsed: 5.271678
iter: 90000, tree: 950753, queue: 869143, pmap: 869979, log10(remaining): 1, time elapsed: 5.787340
iter: 100000, tree: 991953, queue: 902087, pmap: 901861, log10(remaining): 1, time elapsed: 6.300592
iter: 110000, tree: 1025894, queue: 928441, pmap: 929727, log10(remaining): 1, time elapsed: 6.900150
iter: 120000, tree: 1058253, queue: 953095, pmap: 955787, log10(remaining): 1, time elapsed: 7.409090
iter: 130000, tree: 1088390, queue: 975375, pmap: 980697, log10(remaining): 1, time elapsed: 7.906906
iter: 140000, tree: 1114103, queue: 993762, pmap: 1000748, log10(remaining): 1, time elapsed: 8.383108
iter: 150000, tree: 1137471, queue: 1009965, pmap: 1019108, log10(remaining): 1, time elapsed: 8.857175
iter: 160000, tree: 1157981, queue: 1023212, pmap: 1034917, log10(remaining): 1, time elapsed: 9.317325
iter: 170000, tree: 1175202, queue: 1033631, pmap: 1049113, log10(remaining): 1, time elapsed: 9.767347
iter: 180000, tree: 1188984, queue: 1041265, pmap: 1061621, log10(remaining): 1, time elapsed: 10.212413
iter: 190000, tree: 1199681, queue: 1046330, pmap: 1071793, log10(remaining): 1, time elapsed: 10.659395
iter: 200000, tree: 1208844, queue: 1050058, pmap: 1081164, log10(remaining): 1, time elapsed: 11.100617
iter: 210000, tree: 1214614, queue: 1051187, pmap: 1089334, log10(remaining): 1, time elapsed: 11.529790
iter: 220000, tree: 1220403, queue: 1052276, pmap: 1097029, log10(remaining): 1, time elapsed: 11.958934
iter: 230000, tree: 1223210, queue: 1051159, pmap: 1104360, log10(remaining): 1, time elapsed: 12.378955
iter: 240000, tree: 1224680, queue: 1048935, pmap: 1110031, log10(remaining): 1, time elapsed: 12.791089
iter: 250000, tree: 1226617, queue: 1046952, pmap: 1116344, log10(remaining): 1, time elapsed: 13.205408
iter: 260000, tree: 1225289, queue: 1042882, pmap: 1121310, log10(remaining): 1, time elapsed: 13.606324
iter: 270000, tree: 1221597, queue: 1036799, pmap: 1124200, log10(remaining): 1, time elapsed: 14.003711
iter: 280000, tree: 1217950, queue: 1030721, pmap: 1127119, log10(remaining): 1, time elapsed: 14.396075
iter: 290000, tree: 1215231, queue: 1025787, pmap: 1131421, log10(remaining): 1, time elapsed: 14.797853
iter: 300000, tree: 1212021, queue: 1020334, pmap: 1135062, log10(remaining): 1, time elapsed: 15.197443
iter: 310000, tree: 1205704, queue: 1012530, pmap: 1136898, log10(remaining): 1, time elapsed: 15.583308
iter: 320000, tree: 1198723, queue: 1004457, pmap: 1138492, log10(remaining): 1, time elapsed: 15.990378
iter: 330000, tree: 1192151, queue: 996584, pmap: 1140364, log10(remaining): 1, time elapsed: 16.386181
iter: 340000, tree: 1183763, queue: 987498, pmap: 1141274, log10(remaining): 1, time elapsed: 16.769473
iter: 350000, tree: 1176648, queue: 979262, pmap: 1142831, log10(remaining): 1, time elapsed: 17.155605
iter: 360000, tree: 1170492, queue: 971804, pmap: 1145304, log10(remaining): 1, time elapsed: 17.543268
iter: 370000, tree: 1162288, queue: 962864, pmap: 1146329, log10(remaining): 1, time elapsed: 17.923333
iter: 380000, tree: 1153337, queue: 953475, pmap: 1146974, log10(remaining): 1, time elapsed: 18.301515
iter: 390000, tree: 1144206, queue: 943895, pmap: 1147245, log10(remaining): 1, time elapsed: 18.671743
iter: 400000, tree: 1134928, queue: 934223, pmap: 1147712, log10(remaining): 1, time elapsed: 19.047698
iter: 410000, tree: 1125308, queue: 924386, pmap: 1147832, log10(remaining): 1, time elapsed: 19.419010
iter: 420000, tree: 1115930, queue: 914641, pmap: 1148224, log10(remaining): 1, time elapsed: 19.784642
iter: 430000, tree: 1106371, queue: 904815, pmap: 1148526, log10(remaining): 1, time elapsed: 20.151721
iter: 440000, tree: 1097055, queue: 895134, pmap: 1148883, log10(remaining): 1, time elapsed: 20.521083
iter: 450000, tree: 1087422, queue: 885264, pmap: 1149124, log10(remaining): 1, time elapsed: 20.895212
iter: 460000, tree: 1077779, queue: 875435, pmap: 1149317, log10(remaining): 1, time elapsed: 21.265743
iter: 470000, tree: 1068131, queue: 865595, pmap: 1149581, log10(remaining): 1, time elapsed: 21.635451
iter: 480000, tree: 1058400, queue: 855694, pmap: 1149710, log10(remaining): 1, time elapsed: 21.998693
iter: 490000, tree: 1048749, queue: 845810, pmap: 1149975, log10(remaining): 1, time elapsed: 22.357283
iter: 500000, tree: 1038543, queue: 835735, pmap: 1149996, log10(remaining): 1, time elapsed: 22.720044
iter: 510000, tree: 1028398, queue: 825679, pmap: 1150010, log10(remaining): 1, time elapsed: 23.077923
iter: 520000, tree: 1018160, queue: 815591, pmap: 1150015, log10(remaining): 1, time elapsed: 23.436077
iter: 530000, tree: 1007845, queue: 805506, pmap: 1150015, log10(remaining): 1, time elapsed: 23.794868
iter: 540000, tree: 997494, queue: 795402, pmap: 1150015, log10(remaining): 1, time elapsed: 24.151140
iter: 550000, tree: 987240, queue: 785289, pmap: 1150015, log10(remaining): 1, time elapsed: 24.504289
iter: 560000, tree: 976985, queue: 775136, pmap: 1150015, log10(remaining): 1, time elapsed: 24.863210
iter: 570000, tree: 966685, queue: 765030, pmap: 1150015, log10(remaining): 1, time elapsed: 25.218296
iter: 580000, tree: 956332, queue: 754884, pmap: 1150015, log10(remaining): 1, time elapsed: 25.571863
iter: 590000, tree: 945964, queue: 744770, pmap: 1150015, log10(remaining): 1, time elapsed: 25.925548
iter: 600000, tree: 935576, queue: 734664, pmap: 1150015, log10(remaining): 1, time elapsed: 26.280952
iter: 610000, tree: 924998, queue: 724503, pmap: 1150015, log10(remaining): 1, time elapsed: 26.637638
iter: 620000, tree: 914649, queue: 714398, pmap: 1150015, log10(remaining): 1, time elapsed: 26.991254
iter: 630000, tree: 904224, queue: 704224, pmap: 1150015, log10(remaining): 1, time elapsed: 27.342469
iter: 640000, tree: 893850, queue: 694110, pmap: 1150015, log10(remaining): 1, time elapsed: 27.693730
iter: 650000, tree: 883375, queue: 683962, pmap: 1150015, log10(remaining): 1, time elapsed: 28.047162
iter: 660000, tree: 873009, queue: 673942, pmap: 1150015, log10(remaining): 1, time elapsed: 28.384853
iter: 670000, tree: 862542, queue: 663785, pmap: 1150015, log10(remaining): 1, time elapsed: 28.734947
iter: 680000, tree: 852014, queue: 653659, pmap: 1150015, log10(remaining): 1, time elapsed: 29.080679
iter: 690000, tree: 841385, queue: 643537, pmap: 1150015, log10(remaining): 1, time elapsed: 29.451211
iter: 700000, tree: 830723, queue: 633441, pmap: 1150015, log10(remaining): 1, time elapsed: 29.807238
iter: 710000, tree: 819950, queue: 623331, pmap: 1150015, log10(remaining): 1, time elapsed: 30.155430
iter: 720000, tree: 808954, queue: 613240, pmap: 1150015, log10(remaining): 1, time elapsed: 30.500806
iter: 730000, tree: 798229, queue: 603089, pmap: 1150015, log10(remaining): 1, time elapsed: 30.849384
iter: 740000, tree: 787428, queue: 592975, pmap: 1150015, log10(remaining): 1, time elapsed: 31.197746
iter: 750000, tree: 776692, queue: 582869, pmap: 1150015, log10(remaining): 1, time elapsed: 31.547791
iter: 760000, tree: 765938, queue: 572782, pmap: 1150015, log10(remaining): 1, time elapsed: 31.879834
iter: 770000, tree: 755189, queue: 562653, pmap: 1150015, log10(remaining): 1, time elapsed: 32.224570
iter: 780000, tree: 744321, queue: 552478, pmap: 1150015, log10(remaining): 1, time elapsed: 32.573242
iter: 790000, tree: 733386, queue: 542458, pmap: 1150015, log10(remaining): 1, time elapsed: 32.904049
iter: 800000, tree: 722596, queue: 532306, pmap: 1150015, log10(remaining): 1, time elapsed: 33.248752
