System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s10ky0.25_1_train.out-curious_lb-with_prefix_perm_map-no_minor-removed=none-max_num_nodes=2000000000-c=0.0100000-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.26573 -> 0.26572, length: 3, cache size: 214147
before garbage_collect. num_nodes: 214192, log10(remaining): 1
after garbage_collect. num_nodes: 214192, log10(remaining): 1
min(objective): 0.26572 -> 0.26572, length: 3, cache size: 229337
before garbage_collect. num_nodes: 229360, log10(remaining): 1
after garbage_collect. num_nodes: 229360, log10(remaining): 1
iter: 10000, tree: 321710, queue: 312965, pmap: 305521, log10(remaining): 1, time elapsed: 1.530574
iter: 20000, tree: 562747, queue: 545075, pmap: 535899, log10(remaining): 1, time elapsed: 2.887199
iter: 30000, tree: 773148, queue: 746511, pmap: 736593, log10(remaining): 1, time elapsed: 4.133822
iter: 40000, tree: 967056, queue: 931380, pmap: 921158, log10(remaining): 1, time elapsed: 5.446413
iter: 50000, tree: 1152385, queue: 1107483, pmap: 1097081, log10(remaining): 1, time elapsed: 6.612841
iter: 60000, tree: 1321724, queue: 1267685, pmap: 1257525, log10(remaining): 1, time elapsed: 7.779690
iter: 70000, tree: 1482845, queue: 1419488, pmap: 1409266, log10(remaining): 1, time elapsed: 8.915205
iter: 80000, tree: 1634771, queue: 1562249, pmap: 1551395, log10(remaining): 1, time elapsed: 10.033223
iter: 90000, tree: 1777999, queue: 1696334, pmap: 1685892, log10(remaining): 1, time elapsed: 11.145658
iter: 100000, tree: 1910341, queue: 1819488, pmap: 1809379, log10(remaining): 1, time elapsed: 12.244908
iter: 110000, tree: 2044367, queue: 1944245, pmap: 1934490, log10(remaining): 1, time elapsed: 13.542049
iter: 120000, tree: 2174672, queue: 2065347, pmap: 2054532, log10(remaining): 1, time elapsed: 14.604224
iter: 130000, tree: 2294724, queue: 2176126, pmap: 2165161, log10(remaining): 1, time elapsed: 15.649979
