System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s10ky0.28_3_train.out-curious_lb-with_prefix_perm_map-no_minor-removed=none-max_num_nodes=2000000000-c=0.0100000-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.27333 -> 0.27332, length: 4, cache size: 203010
min(objective): 0.27332 -> 0.27332, length: 4, cache size: 203026
before garbage_collect. num_nodes: 203041, log10(remaining): 1
after garbage_collect. num_nodes: 203041, log10(remaining): 1
iter: 10000, tree: 263021, queue: 253548, pmap: 253259, log10(remaining): 1, time elapsed: 1.224039
iter: 20000, tree: 451592, queue: 432726, pmap: 431830, log10(remaining): 1, time elapsed: 2.259513
iter: 30000, tree: 614793, queue: 586488, pmap: 584553, log10(remaining): 1, time elapsed: 3.313336
iter: 40000, tree: 754882, queue: 717303, pmap: 714901, log10(remaining): 1, time elapsed: 4.266446
iter: 50000, tree: 882521, queue: 835693, pmap: 832928, log10(remaining): 1, time elapsed: 5.242500
iter: 60000, tree: 996779, queue: 940720, pmap: 937188, log10(remaining): 1, time elapsed: 6.267646
iter: 70000, tree: 1100936, queue: 1035689, pmap: 1029164, log10(remaining): 1, time elapsed: 7.162065
iter: 80000, tree: 1199381, queue: 1125046, pmap: 1116232, log10(remaining): 1, time elapsed: 8.051667
iter: 90000, tree: 1288738, queue: 1205533, pmap: 1195672, log10(remaining): 1, time elapsed: 8.915819
iter: 100000, tree: 1380358, queue: 1288032, pmap: 1276114, log10(remaining): 1, time elapsed: 9.771039
iter: 110000, tree: 1462657, queue: 1361496, pmap: 1349540, log10(remaining): 1, time elapsed: 10.628579
iter: 120000, tree: 1541716, queue: 1431785, pmap: 1417596, log10(remaining): 1, time elapsed: 11.486058
