System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s10ky0.28_7_train.out-curious_lb-with_prefix_perm_map-no_minor-removed=none-max_num_nodes=2000000000-c=0.0100000-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.27263 -> 0.27262, length: 3, cache size: 61203
before garbage_collect. num_nodes: 61236, log10(remaining): 1
after garbage_collect. num_nodes: 61236, log10(remaining): 1
iter: 10000, tree: 261313, queue: 251874, pmap: 251064, log10(remaining): 1, time elapsed: 1.213415
iter: 20000, tree: 449021, queue: 430230, pmap: 428153, log10(remaining): 1, time elapsed: 2.262899
iter: 30000, tree: 610867, queue: 582690, pmap: 579510, log10(remaining): 1, time elapsed: 3.291067
iter: 40000, tree: 751594, queue: 714122, pmap: 709997, log10(remaining): 1, time elapsed: 4.264669
iter: 50000, tree: 874341, queue: 827702, pmap: 822487, log10(remaining): 1, time elapsed: 5.200272
iter: 60000, tree: 982425, queue: 926724, pmap: 920458, log10(remaining): 1, time elapsed: 6.208107
iter: 70000, tree: 1090166, queue: 1025263, pmap: 1016892, log10(remaining): 1, time elapsed: 7.106324
iter: 80000, tree: 1183044, queue: 1109286, pmap: 1098713, log10(remaining): 1, time elapsed: 8.011353
iter: 90000, tree: 1272706, queue: 1189874, pmap: 1178270, log10(remaining): 1, time elapsed: 8.869759
iter: 100000, tree: 1361868, queue: 1269911, pmap: 1257987, log10(remaining): 1, time elapsed: 9.712090
iter: 110000, tree: 1443983, queue: 1343127, pmap: 1329510, log10(remaining): 1, time elapsed: 10.557380
iter: 120000, tree: 1518350, queue: 1408682, pmap: 1391958, log10(remaining): 1, time elapsed: 11.408544
iter: 130000, tree: 1585999, queue: 1467650, pmap: 1450875, log10(remaining): 1, time elapsed: 12.224790
iter: 140000, tree: 1652507, queue: 1525387, pmap: 1508205, log10(remaining): 1, time elapsed: 13.031561
iter: 150000, tree: 1714807, queue: 1579233, pmap: 1561846, log10(remaining): 1, time elapsed: 13.835193
iter: 160000, tree: 1778727, queue: 1634272, pmap: 1618107, log10(remaining): 1, time elapsed: 14.625436
