System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s5ky0.25_0_train.out-curious_lb-with_prefix_perm_map-no_minor-removed=none-max_num_nodes=2000000000-c=0.0100000-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
iter: 10000, tree: 339946, queue: 331208, pmap: 324443, log10(remaining): 1, time elapsed: 1.073573
iter: 20000, tree: 599825, queue: 582204, pmap: 573054, log10(remaining): 1, time elapsed: 2.040889
iter: 30000, tree: 833674, queue: 807030, pmap: 798402, log10(remaining): 1, time elapsed: 2.914592
min(objective): 0.26543 -> 0.26543, length: 4, cache size: 981129
before garbage_collect. num_nodes: 981162, log10(remaining): 1
after garbage_collect. num_nodes: 981162, log10(remaining): 1
iter: 40000, tree: 1052573, queue: 1016773, pmap: 1007805, log10(remaining): 1, time elapsed: 3.933308
iter: 50000, tree: 1254514, queue: 1209646, pmap: 1199633, log10(remaining): 1, time elapsed: 4.785054
min(objective): 0.26543 -> 0.26543, length: 4, cache size: 1271421
before garbage_collect. num_nodes: 1271457, log10(remaining): 1
after garbage_collect. num_nodes: 1271457, log10(remaining): 1
iter: 60000, tree: 1442693, queue: 1388784, pmap: 1379353, log10(remaining): 1, time elapsed: 5.689000
iter: 70000, tree: 1629037, queue: 1565912, pmap: 1557492, log10(remaining): 1, time elapsed: 6.499386
iter: 80000, tree: 1812745, queue: 1740290, pmap: 1733212, log10(remaining): 1, time elapsed: 7.284026
iter: 90000, tree: 1990365, queue: 1908697, pmap: 1902241, log10(remaining): 1, time elapsed: 8.275183
iter: 100000, tree: 2154175, queue: 2063222, pmap: 2057613, log10(remaining): 1, time elapsed: 9.008846
iter: 110000, tree: 2315020, queue: 2214789, pmap: 2210590, log10(remaining): 1, time elapsed: 9.771940
iter: 120000, tree: 2462907, queue: 2353573, pmap: 2349421, log10(remaining): 1, time elapsed: 10.500227
iter: 130000, tree: 2601994, queue: 2483467, pmap: 2479288, log10(remaining): 1, time elapsed: 11.210334
iter: 140000, tree: 2734823, queue: 2607178, pmap: 2601368, log10(remaining): 1, time elapsed: 11.927632
iter: 150000, tree: 2862731, queue: 2725960, pmap: 2721760, log10(remaining): 1, time elapsed: 12.623281
iter: 160000, tree: 2989773, queue: 2843741, pmap: 2840367, log10(remaining): 1, time elapsed: 13.346271
iter: 170000, tree: 3113803, queue: 2958598, pmap: 2955664, log10(remaining): 1, time elapsed: 14.038582
iter: 180000, tree: 3232509, queue: 3068147, pmap: 3065597, log10(remaining): 1, time elapsed: 14.719141
iter: 190000, tree: 3348944, queue: 3175422, pmap: 3172471, log10(remaining): 1, time elapsed: 15.396875
iter: 200000, tree: 3465127, queue: 3282375, pmap: 3280056, log10(remaining): 1, time elapsed: 16.076587
iter: 210000, tree: 3580958, queue: 3388835, pmap: 3386961, log10(remaining): 1, time elapsed: 16.764739
iter: 220000, tree: 3689323, queue: 3488106, pmap: 3488253, log10(remaining): 1, time elapsed: 17.429413
iter: 230000, tree: 3800298, queue: 3589844, pmap: 3589681, log10(remaining): 1, time elapsed: 18.096131
iter: 240000, tree: 3898806, queue: 3679235, pmap: 3680382, log10(remaining): 1, time elapsed: 18.743768
iter: 250000, tree: 4003236, queue: 3774548, pmap: 3774730, log10(remaining): 1, time elapsed: 19.925659
iter: 260000, tree: 4098677, queue: 3860495, pmap: 3863888, log10(remaining): 1, time elapsed: 20.547861
iter: 270000, tree: 4193613, queue: 3946366, pmap: 3949800, log10(remaining): 1, time elapsed: 21.177504
iter: 280000, tree: 4287388, queue: 4031072, pmap: 4036414, log10(remaining): 1, time elapsed: 21.812188
iter: 290000, tree: 4385688, queue: 4120138, pmap: 4126875, log10(remaining): 1, time elapsed: 22.444092
iter: 300000, tree: 4481281, queue: 4206460, pmap: 4213538, log10(remaining): 1, time elapsed: 23.095164
iter: 310000, tree: 4573704, queue: 4289841, pmap: 4298127, log10(remaining): 1, time elapsed: 23.721821
iter: 320000, tree: 4661758, queue: 4368953, pmap: 4376760, log10(remaining): 1, time elapsed: 24.351253
iter: 330000, tree: 4741245, queue: 4439152, pmap: 4447263, log10(remaining): 1, time elapsed: 24.963546
iter: 340000, tree: 4827817, queue: 4516396, pmap: 4525902, log10(remaining): 1, time elapsed: 25.574723
iter: 350000, tree: 4914795, queue: 4594123, pmap: 4603145, log10(remaining): 1, time elapsed: 26.203610
iter: 360000, tree: 5000936, queue: 4671232, pmap: 4680500, log10(remaining): 1, time elapsed: 26.821081
iter: 370000, tree: 5083682, queue: 4744830, pmap: 4753994, log10(remaining): 1, time elapsed: 27.437471
iter: 380000, tree: 5166512, queue: 4818670, pmap: 4829189, log10(remaining): 1, time elapsed: 28.043993
iter: 390000, tree: 5254703, queue: 4897746, pmap: 4907650, log10(remaining): 1, time elapsed: 28.658838
iter: 400000, tree: 5337420, queue: 4971460, pmap: 4980776, log10(remaining): 1, time elapsed: 29.266243
iter: 410000, tree: 5418654, queue: 5043753, pmap: 5053679, log10(remaining): 1, time elapsed: 29.869361
